code,description,symptoms,causes
P0117,Engine Coolant Temperature Circuit High Input,"Very poor fuel economy, A no start condition, Vehicle may start, but run very poorly, blowing black smoke, running very
rough and misfiring, Illumination of MIL","A bad connection at the sensor, An open in the ground circuit between the ECT sensor and the PCM, A short in the voltage feed between the sensor and the PCM, A bad PCM (less likely), A bad temperature sensor (shorted internally)"
P0118,Engine Coolant Temperature Circuit Intermittent,"Rough engine idle on cold start, Hesitation or stumble on acceleration, Rich exhaust smell, especially on cold start, Possible engine overheating, Electric cooling fan running constantly or not running at all","Low engine coolant level, Faulty thermostat, Bad ECT sensor, Open or shorted wiring and/or connectors in ECT sensor circuit"
P0119,Throttle Position Sensor/Switch A Circuit Malfunction,"MIL (Malfunction Indicator Lamp) illumination, Misfiring at idle or at highway speed, Poor idle quality, Possibly won't idle, Possibly starts and stalls","Sticking throttle return spring, MAP or TPS connector corrosion, Misrouted harness causing chafing, Bad TPS, Bad PCM"
P0120,Throttle Position Sensor/Switch A Circuit Range/Performance Problem,"Malfunction Indicator Lamp (MIL) illumination (Check Engine Light or Service
Engine Soon light), Intermittent stumble on acceleration or deceleration, Blows black smoke on acceleration, No start","TPS has intermittent open or short internally, Harness is rubbing and causing an open or short in the wiring, Bad connection at the TPS, Bad PCM (less likely), Water or corrosion in connector or sensor"
P0121,Throttle Position Sensor/Switch A Circuit Low Input,"Rough or low idle, Very high idle, Stalling, Surging, No/little acceleration","TPS not mounted securely, TPS circuit short to ground or another wire, Faulty TPS, Damaged computer (PCM)"
P0122,Throttle Position Sensor/Switch A Circuit High Input,"Rough idle, High idle, Surging, other symptoms may also be present","TPS not mounted securely, TPS circuit short to ground or another wire, Faulty TPS, Damaged computer (PCM)"
P0123,Throttle Position Sensor/Switch A Circuit Intermittent,"Hesitation upon acceleration, Black smoke from engine exhaust (especially on start up), Delayed engine startup (particularly on cold start), Diminished fuel efficiency, Stored emissions related codes may accompany a P0124","Defective or misadjusted TPS, Open or shorted TPS ""A"" wiring or connectors, Binding or damaged throttle plate, Bad PCM or a PCM programming error"
P0124,Insufficient Coolant Temperature for Closed Loop Fuel Control;,"Insufficient warm up time, Low engine coolant level, Leaking or stuck open thermostat, Faulty coolant temperature sensor","Insufficient warm up time, Low engine coolant level, Leaking or stuck open thermostat, Faulty coolant temperature sensor"
P0125,ECT Excessive Time to Closed Loop Fuel Control,"Low engine coolant level, Faulty thermostat, Faulty coolant temperature sensor (CTS), CTS electrical wiring or connector problem - open, short, or poor connection","Low engine coolant level, Faulty thermostat, Faulty coolant temperature sensor (CTS), CTS electrical wiring or connector problem - open, short, or poor connection"
P0126,Insufficient Coolant Temperature for Stable Operation,"Engine takes longer to warm up, Engine temperature drops while driving at higher speeds","Low engine coolant level, Leaking or stuck open thermostat (likely), Faulty cooling fan (running too much), Faulty coolant temperature (ECT) sensor, Faulty intake air temperature (IAT) sensor"
P0128,Coolant Thermostat Malfunction,"MIL illumination, Engine runs rough, missing or stumbling, Blows black smoke from tail pipe, Engine dies, Poor fuel economy","Water or corrosion in the connector, Loose terminals in the connector, Wiring burnt on exhaust components, Open or short in the wiring due to rubbing on engine components, Holes in exhaust allowing unmetered oxygen into exhaust system, Unmetered vacuum leak at the engine, Bad o2 sensor, Bad PCM"
P0130,O2 Sensor Circuit Malfunction (Bank 1 Sensor 1),"Faulty o2 oxygen sensor, Short to voltage on O2 signal circuit, High resistance or open on O2 signal circuit","Faulty o2 oxygen sensor, Short to voltage on O2 signal circuit, High resistance or open on O2 signal circuit"
P0131,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 1),"The oxygen sensor heater circuit is shorted out, The wiring to the sensor is broken / frayed (less likely)","The oxygen sensor heater circuit is shorted out, The wiring to the sensor is broken / frayed (less likely)"
P0132,O2 Sensor Circuit High Voltage (Bank 1 Sensor 1),"The oxygen sensor is faulty, The wiring to the sensor is broken / frayed, There is an exhaust leak","The oxygen sensor is faulty, The wiring to the sensor is broken / frayed, There is an exhaust leak"
P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1),"Check engine light illumination, Poorly running/engine missing, Blowing black smoke, Poor fuel economy, Dying, stuttering","Bad O2 (oxygen) sensor, Bad heater circuit in the O2 sensor, Wiring or connector to the sensor frayed / broken, Blown heater circuit fuse, Holes in the exhaust system, PCM failure"
P0134,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 1),"O2 Heater element resistance is high, Internal short or open in the heater element, O2 heater circuit wiring high resistance, open or short to ground in the wiring harness","O2 Heater element resistance is high, Internal short or open in the heater element, O2 heater circuit wiring high resistance, open or short to ground in the wiring harness"
P0135,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 1),"Faulty O2 sensor leak in exhaust close to O2 sensor, Short to voltage on O2 signal circuit, Open in circuit resistance caused by corrosion in connector","Faulty O2 sensor leak in exhaust close to O2 sensor, Short to voltage on O2 signal circuit, Open in circuit resistance caused by corrosion in connector"
P0136,O2 Sensor Circuit Malfunction (Bank 1 Sensor 2),"Faulty o2 sensor Exhaust leak near the rear sensor, Plugged catalyst, Short to voltage on O2 signal circuit, High resistance or open on O2 signal circuit, Engine running very rich or lean, Engine misfire condition, Fuel pressure very high or low - fuel pump or pressure regulator","Faulty o2 sensor Exhaust leak near the rear sensor, Plugged catalyst, Short to voltage on O2 signal circuit, High resistance or open on O2 signal circuit, Engine running very rich or lean, Engine misfire condition, Fuel pressure very high or low - fuel pump or pressure regulator"
P0137,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 2),"Faulty O2 sensor, Short to battery voltage in O2 sensor signal circuit, High fuel pressure (not as likely)","Faulty O2 sensor, Short to battery voltage in O2 sensor signal circuit, High fuel pressure (not as likely)"
P0138,O2 Sensor Circuit High Voltage (Bank 1 Sensor 2),"The oxygen sensor is faulty, The wiring to the sensor is broken / frayed, There is an exhaust leak","The oxygen sensor is faulty, The wiring to the sensor is broken / frayed, There is an exhaust leak"
P0139,O2 Sensor Circuit Slow Response (Bank 1 Sensor 2),"Shorted heater circuit in O2 sensor. (Usually requires replacement of heater
circuit fuse in fuse block also), Shorted signal circuit in O2 sensor, Melting of harness connector or wiring due to contact with exhaust system, Water intrusion in harness connector or PCM connector, Bad PCM","Shorted heater circuit in O2 sensor. (Usually requires replacement of heater
circuit fuse in fuse block also), Shorted signal circuit in O2 sensor, Melting of harness connector or wiring due to contact with exhaust system, Water intrusion in harness connector or PCM connector, Bad PCM"
P0140,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 2),"open or short to ground in the wiring harness, O2 heater circuit wiring high resistance, O2 heater element resistance is high, Internal short or open in the heater element","open or short to ground in the wiring harness, O2 heater circuit wiring high resistance, O2 heater element resistance is high, Internal short or open in the heater element"
P0141,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 2),"MIL (Malfunction Indicator Lamp) illumination, Decrease in MPG, Increase in tailpipe emissions","Bad O2 sensor, Signal shorted to voltage, Wiring problems due to contact with exhaust components, Holes in exhaust near O2 sensor"
P0142,O2 Sensor Circuit Malfunction (Bank 1 Sensor 3),"MIL (Malfunction Indicator Lamp) illumination, Engine performance issues, Engine running rough, Engine running rich, Poor idle","Air leaks in exhaust in front of o2 sensor giving false reading, O2 sensor connector damaged, O2 sensor signal circuit is shorted to ground, O2 sensor ground circuit is open, O2 sensor has failed (it may be contaminated with fuel or coolant), PCM has failed"
P0143,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 3),"MIL (Malfunction Indicator Lamp) on, Engine loses power and misses intermittently, May exhibit loss of fuel efficiency","Bad o2 sensor (Bank 1 Sensor 3), Wiring in contact with exhaust components, Engine running rich (If other codes are present), Holes in exhaust near Bank 1 Sensor 3, Short to voltage on signal circuit, Bad PCM"
P0144,O2 Sensor Circuit High Voltage (Bank 1 Sensor 3),"A lack of general engine performance, Diminished fuel efficiency, Other related diagnostic trouble codes may also be stored, Service engine soon lamp illumination","Defective O2 sensor/s, Burnt, broken, or disconnected wiring and/or connectors, Clogged catalytic converter, Engine exhaust leaks"
P0145,O2 Sensor Circuit Slow Response (Bank 1 Sensor 3),"MIL (Malfunction Indicator Lamp) on, May idle or drive poorly, Fuel economy may decrease","Bad Bank 1, position 3, o2 sensor, Wiring problem, melted harness, broken connectors, etc., Bad PCM"
P0146,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 3),"MIL (Malfunction Indicator Lamp) illumination, Poor/ rough idle","Bad o2 sensor heater circuit, Bad o2 sensor, Wiring harness problems"
P0147,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 3),"MIL illumination, Engine runs rough, missing or stumbling, Blows black smoke from tail pipe, Engine dies, Poor fuel economy","Water or corrosion in the connector, Loose terminals in the connector, Wiring burnt on exhaust components, Open or short in the wiring due to rubbing on engine components, Holes in exhaust allowing unmetered oxygen into exhaust system, Unmetered vacuum leak at the engine, Bad o2 sensor, Bad PCM"
P0150,O2 Sensor Circuit Malfunction (Bank 2 Sensor 1),"Faulty o2 oxygen sensor, Short to voltage on O2 signal circuit, High resistance or open on O2 signal circuit","Faulty o2 oxygen sensor, Short to voltage on O2 signal circuit, High resistance or open on O2 signal circuit"
P0151,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 1),"MIL (Malfunction Indicator Lamp) illumination, Engine may run very rough, Engine may be running lean or rich depending on if the o2 sensor is reading correctly or incorrectly, Lack of power, Increased fuel consumption","Bad bank 2, 1 o2 sensor incorrectly reading rich condition, Engine running rich and o2 sensor, Correctly reading rich condition, Signal shorted to voltage in harness, Wiring harness damage/melted due to contact with exhaust components, Vacuum leak (make have lean codes (P0171, P0174) present with it), Leaking injectors, Bad fuel pressure regulator, Bad PCM"
P0152,O2 Sensor Circuit High Voltage (Bank 2 Sensor 1),"The oxygen sensor is faulty, The wiring to the sensor is broken / frayed, There is an exhaust leak","The oxygen sensor is faulty, The wiring to the sensor is broken / frayed, There is an exhaust leak"
P0153,O2 Sensor Circuit Slow Response (Bank 2 Sensor 1),"MIL (Malfunction Indicator Lamp) illumination, Other codes indicating rich or lean condition may be present, Poor idle, won't idle, Misfire at idle or at highway speed, Engine may blow black smoke at tailpipe, Fuel economy may decrease, May start and stall","Faulty bank 2,1 Oxygen sensor, Holes in exhaust near oxygen sensor, Short to voltage or ground on signal circuit, Open or high resistance in signal circuit, Wiring harness chafing/rubbing on exhaust components, Water/oil intrusion at O2 sensor connector, Broken lock or loose terminals on O2 sensor connector, Oil/coolant fouled oxygen sensor"
P0154,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 1),"O2 Heater element resistance is high, Internal short or open in the heater element, O2 heater circuit wiring high resistance, open or short to ground in the wiring harness","O2 Heater element resistance is high, Internal short or open in the heater element, O2 heater circuit wiring high resistance, open or short to ground in the wiring harness"
P0155,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 1),"MIL (Malfunction Indicator Lamp) illumination, Decrease in MPG, Increase in tailpipe emissions","Bad O2 sensor, Signal shorted to voltage, Wiring problems due to contact with exhaust components, Holes in exhaust near o2 sensor"
P0156,O2 Sensor Circuit Malfunction (Bank 2 Sensor 2),"MIL (Malfunction Indicator Lamp) illumination, Engine performance issues, Engine running rough, Engine running rich (only if PCM is trying to add fuel to compensate for low o2 sensor voltage reading), Engine running lean (only if vacuum leak is large enough that PCM can't compensate by adding fuel), Poor idle","Air leaks in exhaust in front of o2 sensor giving false reading, Engine running excessively lean, O2 sensor connector damaged/corroded, O2 sensor signal circuit is shorted to ground, O2 sensor ground circuit is open, O2 sensor has failed (it may be contaminated with fuel or coolant), PCM has failed"
P0157,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 2),"MIL (Malfunction Indicator Lamp) on, Engine loses power and misses intermittently, May exhibit loss of fuel efficiency, Engine running rich","Bad o2 sensor (Bank 2 Sensor 2), Wiring in contact with exhaust components, Engine running rich (If other codes are present), Holes in exhaust causing PCM to over-rich engine resulting in an abnormally high Bank 2, sensor 2 reading, Short to voltage on signal circuit, Bad PCM"
P0158,O2 Sensor Circuit High Voltage (Bank 2 Sensor 2),"The oxygen sensor is faulty, The wiring to the sensor is broken / frayed, There is an exhaust leak","The oxygen sensor is faulty, The wiring to the sensor is broken / frayed, There is an exhaust leak"
P0159,O2 Sensor Circuit Slow Response (Bank 2 Sensor 2),"MIL (Malfunction Indicator Lamp) on, May idle or drive poorly, Fuel economy may decrease","Holes in exhaust near post cat o2 sensor, Bad Bank 2, position 2, o2 sensor, Wiring problem, melted harness, broken connectors, etc., Bad PCM"
P0160,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 2),"HO2S heater power circuit open, HO2S heater ground circuit open, HO2S signal tracking (due to oil or moisture in the connector), HO2S is damaged or has failed PCM has failed","HO2S heater power circuit open, HO2S heater ground circuit open, HO2S signal tracking (due to oil or moisture in the connector), HO2S is damaged or has failed PCM has failed"
P0161,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 2),"MIL (Malfunction Indicator Lamp) illumination, Decrease in MPG, Increase in tailpipe emissions","Bad O2 sensor, Signal shorted to voltage, Wiring problems due to contact with exhaust components, Holes in exhaust near O2 sensor"
P0162,O2 Sensor Circuit Malfunction (Bank 2 Sensor 3),"MIL (Malfunction Indicator Lamp) illumination, Engine performance issues, Engine running rough, Engine running rich (only if PCM is trying to add fuel to compensate for low O2 sensor voltage reading), Engine running lean (only if vacuum leak is large enough that PCM can't compensate by adding fuel), Poor idle","Air leaks in exhaust in front of O2 sensor giving false reading, Engine running excessively lean, O2 sensor connector damaged/corroded, O2 sensor signal circuit is shorted to ground, O2 sensor ground circuit is open, O2 sensor has failed (it may be contaminated with fuel or coolant), PCM has failed"
P0163,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 3),"MIL (Malfunction Indicator Lamp) on, Engine loses power and misses intermittently, May exhibit loss of fuel efficiency","Bad O2 sensor (Bank 2 Sensor 3), Wiring in contact with exhaust components, Engine running rich (If other codes are present), Holes in exhaust near Bank 2 Sensor 3, Short to voltage on signal circuit, Bad PCM"
P0164,O2 Sensor Circuit High Voltage (Bank 2 Sensor 3),"A lack of general engine performance, Diminished fuel efficiency, Other related diagnostic trouble codes may also be stored, Service engine soon lamp illumination","Defective O2 sensor/s, Burnt, broken, or disconnected wiring and/or connectors, Clogged catalytic converter, Engine exhaust leaks"
P0165,O2 Sensor Circuit Slow Response (Bank 2 Sensor 3),"MIL (Malfunction Indicator Lamp) on, May idle or drive poorly, Fuel economy may decrease","Bad Bank 2, position 3, o2 sensor, Wiring problem, melted harness, broken connectors, etc., Bad PCM"
P0166,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 3),"MIL (Malfunction Indicator Lamp) illumination, Poor/ rough idle","Bad o2 sensor heater circuit, Bad o2 sensor, Wiring harness problems"
P0167,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 3),"MIL (Malfunction Indicator Lamp) Illumination, Start and stall, Poor fuel economy, Black smoke at tailpipe, Hesitation/misfire at idle or under load","2003 Kia Rio 1.6L P0447, P0038, P0138, P0170, P0501Among several codes my car has, one is P0447 which is listed as EVAP emission system - vent control valve circuit open.
No idea as to where to start checking as i am not sure if this car has a sensor in the fuel tank. I do know is must have an external carbon canister near the tank. Any tips?..., Code P0170 1997 Nissan Maxima GXEHello all. I have a 97 Maxima GXE, auto, no ABS. Recently the car threw a code while I was out of town. The Nissan code 0115 which converts to P0170 which is fuel system too lean, bank 2. The O2 sensor on that bank is very new because I got a code for that earlier. The car is running very rough and ..., P0170 1997 Montero - frustratedMy 1997 Mitsubishi Montero has been throwing a P0170 code for the past 2 years and after several trips my local mechanic and the dealership it's still not fixed. Some 2 years ago after several repairs I was able to get the Montero through emmission althought the P0170 code was present the Check Eng..., P0170 on 2000 Subaru Outback happens only after refueling2000 Subaru Legacy Outback, 2.5L boxer engine, auto-trans. Just turned 100K miles a few days ago.
I have been getting the P0170 code and the closest commonality I can determine for the cause is that it happens within a couple miles right after refueling. I would get the code cleared at a local aut..., Fuel Trim issue P0170 on 99 benz C230Hi -- can you help me with this code - the shop has replaced the gas filter and I have check for vac leaks, cleaned MAF and throttle body seal -- all without finding problem. . I am questioning the sensor 2 and the MAF sensor or ?
The O2 voltage on bank 1 sensor 1 is running between .11 to .86 volt..., BMW E46 318i '98 - Codes P0300/P0301/P0302/P0303/P0130/P0170Hi There,
Just new to the forum and tried to search my answer ... but no luck unfortunately.
I hope someone can help me here.
Car: BMW E46 318i from Oct '98 (yes, one of the first E46's :wink: ).
Engine: M43TU
The following Fault Codes appeared in my PCM Scan software:
P0300 Random/Multiple Cy..., 2001 Honda Prelude Running Rich P0172 P0170P0172-System Too Rich
P0170-Fuel Trim Malfunction
2001 Honda Prelude-SH running rich since god knows when...I have a piggyback ecu controller (APEXi VAFC-II) I cannot get the car to stop exhausting black exhaust fumes (unburnt hydro carbons) off the back of my car...., Honda Civic GX (natural gas vehicle) with error code P0170Civic has 212K miles. Recently it started sputtering, then wouln't start, dealer gave me a list of codes;
P0301 - P0304 (misfire)
P0131 (O2 sensor)
P0170 (fuel metering out of spec - dealer) or (Fuel Trim Bank 1 @ Actron)
I rebuilt all 4 injectors.
I installed new O2 sensor (top one).
Installed new..., 2003 BMW 525i: P0170, P0171, P1083, P10852003 BMW 525i, 110k
2 weeks ago my ""Service Engine Soon"" light came on, so I downloaded the codes from an OBDII reader:
P0170
P0171
P1083
P1085
I replaced the spark plugs and air filter since they were the ""originals"" (not related to codes).
I took apart the area where the MAF sensor was, blew it..., '95 Toyota Land Cruiser: P0420 AND P0170?Oh, the long and convoluted history of my Land Cruiser!
I picked it up with just over 160K on the clock. I've had it for ~4 years ,and have put ~15K miles on it since then.
It had just had an aftermarket exhaust setup installed. Specifically the two new bits were the ""Y"" down-pipe, and the second C..."
P0170,Fuel Trim Malfunction (Bank 1),"a lack of power, detonation (spark knock), rough idle, hesitation/surge on acceleration.","The MAF (Mass Air Flow) Sensor is dirty or faulty
Note: The use of ""oiled""
air filters may cause the MAF to become dirty if the filter is over-oiled.
There is also an issue with some vehicles where the MAF sensors leak the silicone
potting material used to protect the circuitry., There could be a vacuum leak downstream of the MAF sensor, Possible cracked vacuum or PCV line/connection, Faulty or stuck open PCV valve, Failed or faulty oxygen sensor (bank 1, sensor 1), Sticking/plugged or failed fuel injector, Low fuel pressure (possible plugged/dirty fuel filter!), Exhaust leak between engine and first oxygen sensor"
P0171,Fuel Trim System Lean (Bank 1),"The MAF (Mass Air Flow) Sensor is dirty or faulty. Note: The use of ""oiled""
air filters can cause the MAF to become dirty if the filter is over-oiled.
There is also an issue with some vehicles where the MAF sensors leak the silicone
potting material used to protect the circuitry., There could be a vacuum leak., There could be a fuel pressure or delivery problem","The MAF (Mass Air Flow) Sensor is dirty or faulty. Note: The use of ""oiled""
air filters can cause the MAF to become dirty if the filter is over-oiled.
There is also an issue with some vehicles where the MAF sensors leak the silicone
potting material used to protect the circuitry., There could be a vacuum leak., There could be a fuel pressure or delivery problem"
